id,magnitude,place,country,time,longitude,latitude,depth
us7000tbw3,4.8,"215 km NNE of Lospalos, Timor Leste",Timor Leste,2026-08-26 01:48:11 UTC,127.493,-6.6411,11.628
us7000tbw0,4.2,"45 km WSW of Taltal, Chile",Chile,2026-08-26 01:37:01 UTC,-70.9248,-25.5207,31.754
us7000tbw1,4.6,"87 km NNE of Labuan Bajo, Indonesia",Indonesia,2026-08-26 01:31:55 UTC,120.2856,-7.813,10.0
aka2026qvvxqr,3.9,"229 km ESE of Attu Station, Alaska",Alaska,2026-08-26 01:21:27 UTC,176.365,52.145,3.6
aka2026qvvvrv,3.9,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-26 01:19:30 UTC,176.313,51.976,10.0
us7000tbzy,2.8,"236 km ESE of Attu Station, Alaska",Alaska,2026-08-26 00:38:58 UTC,176.3412,51.9507,31.085
aka2026qvuifn,2.5,"55 km SE of Akutan, Alaska",Alaska,2026-08-26 00:34:31 UTC,-165.185,53.782,35.1
us7000tbvm,4.0,"38 km NE of Sarāhan, India",India,2026-08-26 00:16:55 UTC,78.0893,31.7485,49.347
hv75023942,2.61,"11 km WSW of Pāhala, Hawaii",Hawaii,2026-08-25 23:58:02 UTC,-155.583666666667,19.1745,7.81
us7000tbv9,2.6,"143 km W of Ferndale, California",California,2026-08-25 23:02:50 UTC,-125.9576,40.5469,15.509
aka2026qvqnal,2.9,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-25 22:39:33 UTC,176.304,51.969,5.0
us7000tc8w,4.7,central Mid-Atlantic Ridge,central Mid-Atlantic Ridge,2026-08-25 22:23:25 UTC,-19.8654,-0.5066,10.0
aka2026qvpqyu,2.8,"56 km SE of Sand Point, Alaska",Alaska,2026-08-25 22:14:07 UTC,-159.804,55.015,2.5
us7000tbv1,3.0,"204 km W of Bandon, Oregon",Oregon,2026-08-25 22:01:39 UTC,-126.9068,43.3484,10.0
us7000tbv0,4.4,"56 km NNW of Barishal, Pakistan",Pakistan,2026-08-25 22:00:24 UTC,74.4191,36.7826,53.576
us7000tbup,4.9,"47 km NE of Ruteng, Indonesia",Indonesia,2026-08-25 21:23:59 UTC,120.7135,-8.2554,9.418
aka2026qvnxdk,3.4,"232 km ESE of Attu Station, Alaska",Alaska,2026-08-25 21:21:08 UTC,176.275,51.954,0.4
us7000tbu3,4.7,"77 km E of Tomioka, Japan",Japan,2026-08-25 20:23:36 UTC,141.8893,37.2686,35.0
ci41536408,3.06,"12 km WSW of Salton City, CA",CA,2026-08-25 20:17:07 UTC,-116.066833333333,33.2393333333333,4.3
aka2026qvltds,3.1,"232 km ESE of Attu Station, Alaska",Alaska,2026-08-25 20:16:42 UTC,176.287,51.963,2.0
aka2026qvlfsy,3.4,"56 km WNW of Nanwalek, Alaska",Alaska,2026-08-25 20:01:13 UTC,-152.86,59.515,96.0
aka2026qvlewi,2.9,"232 km ESE of Attu Station, Alaska",Alaska,2026-08-25 20:00:18 UTC,176.303,51.98,2.6
hv75023872,2.61,"15 km N of Kukuihaele, Hawaii",Hawaii,2026-08-25 19:52:38 UTC,-155.582166666667,20.261,43.58
pr71529788,2.67,"24 km SE of Emajagua, Puerto Rico",Puerto Rico,2026-08-25 19:47:01 UTC,-65.6966666666667,17.8766666666667,3.15
us7000tbtn,4.3,"169 km SSE of Vilyuchinsk, Russia",Russia,2026-08-25 19:33:01 UTC,159.2777,51.5035,35.0
aka2026qvkawp,2.5,"78 km SSW of Nikolski, Alaska",Alaska,2026-08-25 19:25:44 UTC,-169.398,52.313,15.7
aka2026qvjxqy,3.1,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-25 19:21:54 UTC,176.307,51.971,0.9
us7000tbtj,4.2,"192 km SSE of Sarangani, Philippines",Philippines,2026-08-25 19:16:11 UTC,125.8069,3.693,386.382
aka2026qvjroe,2.6,"100 km SSW of Unalaska, Alaska",Alaska,2026-08-25 19:14:57 UTC,-167.043,53.028,22.0
us7000tbta,4.2,"16 km ENE of Çelikhan, Turkey",Turkey,2026-08-25 18:43:54 UTC,38.3938,38.1053,10.0
aka2026qvigce,3.0,"232 km ESE of Attu Station, Alaska",Alaska,2026-08-25 18:31:39 UTC,176.293,51.971,0.6
aka2026qvhofb,2.6,"38 km NE of Chenega, Alaska",Alaska,2026-08-25 18:11:07 UTC,-147.517,60.314,19.4
us7000tbsx,4.3,"180 km NE of Kuril’sk, Russia",Russia,2026-08-25 17:44:51 UTC,149.6836,46.2509,166.288
aka2026qvfbdb,3.0,"232 km ESE of Attu Station, Alaska",Alaska,2026-08-25 16:56:00 UTC,176.305,51.991,5.0
aka2026qveylx,2.5,"91 km SE of King Cove, Alaska",Alaska,2026-08-25 16:52:59 UTC,-161.295,54.493,9.3
aka2026qveblc,2.7,"102 km SW of Inuvik, Canada",Canada,2026-08-25 16:26:26 UTC,-135.62,67.777,20.0
us7000tbsj,4.5,Vanuatu region,Vanuatu region,2026-08-25 16:23:33 UTC,170.4985,-14.235,628.976
aka2026qvdxai,2.7,"39 km NE of Chenega, Alaska",Alaska,2026-08-25 16:21:31 UTC,-147.542,60.336,13.7
aka2026qvduld,3.5,"234 km ESE of Attu Station, Alaska",Alaska,2026-08-25 16:18:07 UTC,176.221,51.855,18.1
us7000tbsq,2.8,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-25 16:02:43 UTC,176.375,52.0757,77.775
aka2026qvdggc,3.0,"56 km ESE of Denali National Park, Alaska",Alaska,2026-08-25 16:02:00 UTC,-150.729,63.301,5.0
us6000tnd7,5.2,"258 km SE of Hihifo, Tonga",Tonga,2026-08-25 15:15:54 UTC,-171.8992,-17.4086,10.0
us6000tnd4,5.0,"62 km NNE of Ruteng, Indonesia",Indonesia,2026-08-25 14:58:54 UTC,120.6333,-8.0758,10.0
aka2026qvbdgg,2.7,"198 km SE of Akutan, Alaska",Alaska,2026-08-25 14:58:21 UTC,-163.729,52.83,26.7
aka2026qvayzm,2.7,"53 km SE of Sand Point, Alaska",Alaska,2026-08-25 14:53:25 UTC,-159.821,55.058,6.0
us6000tnd3,4.3,"90 km SSW of Severo-Kuril’sk, Russia",Russia,2026-08-25 14:45:07 UTC,155.7768,49.8967,78.854
aka2026quzgcr,3.4,"233 km ESE of Attu Station, Alaska",Alaska,2026-08-25 14:01:44 UTC,176.28,51.949,7.8
us6000tnd0,4.4,"15 km W of Lushnjë, Albania",Albania,2026-08-25 13:56:35 UTC,19.5197,40.9504,10.0
aka2026quymiw,2.8,"231 km ESE of Attu Station, Alaska",Alaska,2026-08-25 13:39:03 UTC,176.339,52.071,1.5
aka2026quxdel,2.5,"142 km ESE of Nikolski, Alaska",Alaska,2026-08-25 12:58:34 UTC,-166.984,52.36,17.2
aka2026quwfyd,2.9,"Rat Islands, Aleutian Islands, Alaska",Alaska,2026-08-25 12:31:52 UTC,179.351,50.172,1.9
aka2026quwdyi,2.5,"18 km SW of Atka, Alaska",Alaska,2026-08-25 12:29:26 UTC,-174.393,52.084,173.0
us6000tncq,4.3,"4 km SW of Almolonga, Guatemala",Guatemala,2026-08-25 12:27:39 UTC,-91.525,14.7891,129.278
us6000tncl,4.3,"92 km NW of Arthurs Point, New Zealand",New Zealand,2026-08-25 12:26:29 UTC,167.8841,-44.3718,10.0
us6000tnci,5.5,south of the Fiji Islands,south of the Fiji Islands,2026-08-25 12:12:03 UTC,179.8207,-23.3497,528.283
us6000tncc,4.9,"94 km W of Ambon, Indonesia",Indonesia,2026-08-25 11:29:44 UTC,127.3328,-3.6519,10.0
aka2026qusjmz,2.5,"103 km SSE of Sand Point, Alaska",Alaska,2026-08-25 10:35:47 UTC,-160.066,54.438,4.4
aka2026qurklq,2.9,"90 km SSE of Akutan, Alaska",Alaska,2026-08-25 10:06:57 UTC,-165.222,53.394,2.1
nc75424817,2.55,"13 km W of Round Valley, CA",CA,2026-08-25 09:51:56 UTC,-118.740501403809,37.4128341674805,11.7700004577637
aka2026ququup,2.6,"94 km SSE of King Cove, Alaska",Alaska,2026-08-25 09:48:58 UTC,-161.559,54.331,1.0
